name,category,rating,review,link,addr,hour,tel
여기가좋겠네,닭요리,3.3,255,https://place.map.kakao.com/8445907,서울 동대문구 회기로21길 25,,02-968-9112
홍곱창 회기본점,"곱창,막창",3.9,93,https://place.map.kakao.com/24374184,서울 동대문구 회기로25길 60,,02-3295-1187
영화장,중화요리,3.2,117,https://place.map.kakao.com/9316895,서울 동대문구 휘경로 3-8,,02-967-9595
오관스시,"초밥,롤",4.2,107,https://place.map.kakao.com/1724102273,서울 동대문구 회기로 121 1층,,070-8225-6369
고황24시 뼈다귀해장국감자탕,감자탕,2.9,71,https://place.map.kakao.com/21326102,서울 동대문구 경희대로1길 8-16,,02-966-5082
레알라면,분식,4.6,61,https://place.map.kakao.com/21327910,서울 동대문구 회기로25길 23-5,,02-960-4208
회기왕족발보쌈,"족발,보쌈",3.5,117,https://place.map.kakao.com/8625453,서울 동대문구 회기로 158,,02-966-4955
17,피자,4.0,89,https://place.map.kakao.com/499199817,서울 동대문구 회기로21길 22,,02-6494-1798
카페몰로,디저트카페,3.7,92,https://place.map.kakao.com/1317422264,서울 동대문구 회기로 163 1층,,02-966-1301
촨커,양꼬치,4.3,70,https://place.map.kakao.com/86080199,서울 동대문구 이문로9길 105,,02-963-3688
고깃집도훈 경희본점,"육류,고기",4.2,46,https://place.map.kakao.com/1079777463,서울 동대문구 회기로21길 29,,02-965-4146
멍군집,"육류,고기",4.8,73,https://place.map.kakao.com/1792106573,서울 동대문구 회기로 148-4,,010-8001-2264
카페양귀비,카페,3.9,90,https://place.map.kakao.com/2093688428,서울 동대문구 이문로9길 8 1층,,
장군집,"육류,고기",3.0,72,https://place.map.kakao.com/27335528,서울 동대문구 회기로25길 23-5,,010-2705-3099
호랭이양식당,이탈리안,3.0,67,https://place.map.kakao.com/892475801,서울 동대문구 회기로13길 24,,02-966-4589
인생소곱창,"곱창,막창",4.2,70,https://place.map.kakao.com/346833581,서울 동대문구 회기로21길 9,,02-3295-3332
물고기김밥,분식,4.6,27,https://place.map.kakao.com/710638315,서울 동대문구 이문로25길 36 1층,,02-963-4580
황하,중화요리,4.0,32,https://place.map.kakao.com/16705636,서울 동대문구 경희대로4길 79,,02-959-8585
왼손우동짜장탕수육,중화요리,4.5,22,https://place.map.kakao.com/27349137,서울 동대문구 이문로 61,,
비하인드미,카페,4.5,36,https://place.map.kakao.com/2103694654,서울 동대문구 회기로 125,,
굿갓레스토랑 회기점,양식,4.6,105,https://place.map.kakao.com/700254332,서울 동대문구 회기로19길 12,,070-7576-2497
코지인무르무르,양식,4.5,49,https://place.map.kakao.com/656646174,서울 동대문구 회기로 139 2층,,02-965-0683
고기야미안해,일식집,3.7,41,https://place.map.kakao.com/17077406,서울 동대문구 경희대로4길 20 1층,,02-967-0202
79번지국수집,국수,4.1,58,https://place.map.kakao.com/15960470,서울 동대문구 회기로13길 25 1층,,
크로네과자점,"제과,베이커리",4.3,25,https://place.map.kakao.com/10812351,서울 동대문구 경희대로 17,,02-960-2045
해나루초밥,"초밥,롤",3.1,30,https://place.map.kakao.com/17484743,서울 동대문구 경희대로 3-1 1층,,02-966-8100
이모네왕파전,"호프,요리주점",3.3,123,https://place.map.kakao.com/21235804,서울 동대문구 회기로28길 12-3,,02-959-8318
컴플리트커피,카페,4.7,49,https://place.map.kakao.com/13333488,서울 동대문구 이문로9나길 6-14,,070-8873-0419
에잇올리,양식,4.9,59,https://place.map.kakao.com/10329690,서울 동대문구 경희대로6길 3-2 1층,,02-6012-2770
도모다찌,일본식주점,4.0,32,https://place.map.kakao.com/15424766,서울 동대문구 경희대로4길 15,,02-968-2357
베러댄,카페,3.9,102,https://place.map.kakao.com/1779970753,서울 동대문구 망우로 34 진성빌딩 1층,,
그대쉴꽃,카페,2.3,77,https://place.map.kakao.com/1507094194,"서울 동대문구 회기로19길 6 1,2층",,02-966-0813
이문동커피집 플랫피플,커피전문점,5.0,44,https://place.map.kakao.com/27542920,서울 동대문구 이문로25길 39 1층,,
그릭데이 경희대점,카페,4.9,53,https://place.map.kakao.com/954603168,서울 동대문구 회기로23가길 22,,
백수씨심야식당,실내포장마차,4.0,35,https://place.map.kakao.com/461811439,서울 동대문구 경희대로1길 8-15 1층,,02-969-6212
커피블랑,디저트카페,5.0,84,https://place.map.kakao.com/831347994,서울 동대문구 회기로19길 16,,010-2717-7316
베나레스 경희대점(휴업중),인도음식,4.3,24,https://place.map.kakao.com/25082005,서울 동대문구 회기로19길 23 유경빌딩 2층 201호,,02-968-9982
차칸스시,"초밥,롤",3.6,51,https://place.map.kakao.com/1726533500,서울 동대문구 회기로25길 52,,02-960-0919
스시선생,"초밥,롤",3.9,35,https://place.map.kakao.com/27413643,서울 동대문구 경희대로4길 54,,02-969-0806
치보,이탈리안,4.2,36,https://place.map.kakao.com/12140380,서울 동대문구 천장산로9길 3,,02-960-7340
홍익돈까스 회기역점,"돈까스,우동",3.4,39,https://place.map.kakao.com/18568145,서울 동대문구 망우로21길 52 춘태빌딩 1층,,02-2242-9604
8번가,카페,3.7,70,https://place.map.kakao.com/14723310,서울 동대문구 경희대로3길 8,,
