name,category,rating,review,link,addr,hour,tel
광고호정닭한마리,닭요리,4.0,5,https://place.map.kakao.com/12665845,서울 동대문구 안암로18가길 32,,02-953-2624
고른햇살,분식,4.6,155,https://place.map.kakao.com/13086789,서울 성북구 개운사길 27,,02-953-3394
비나레스토랑,인도음식,4.7,45,https://place.map.kakao.com/19245690,서울 동대문구 안암로24길 4,,02-926-5860
우정초밥,"초밥,롤",4.9,84,https://place.map.kakao.com/743447746,서울 성북구 종암로3길 31 1층,,070-4320-2333
백소정,"돈까스,우동",3.4,69,https://place.map.kakao.com/1306082197,서울 성북구 개운사길 30 2층,,
동우설렁탕 본점,설렁탕,4.1,34,https://place.map.kakao.com/21233686,서울 성북구 개운사길 45,,02-926-5243
야마토텐동,일식,4.1,107,https://place.map.kakao.com/927297064,서울 성북구 고려대로28길 2 1층,,02-6326-1055
이공김밥 안암본점,분식,4.3,149,https://place.map.kakao.com/60259859,서울 성북구 안암로 61-6,,02-926-0005
오샬,인도음식,4.4,86,https://place.map.kakao.com/540993689,서울 성북구 고려대로24길 6 3층,,02-6084-6527
대즐링,카페,4.8,62,https://place.map.kakao.com/2047903591,서울 동대문구 안암로 132 1층,,0507-1409-3946
나정순할매쭈꾸미,"해물,생선",2.8,42,https://place.map.kakao.com/15774113,서울 동대문구 약령시로 65,,
유자유김치떡볶이 본점,떡볶이,3.8,227,https://place.map.kakao.com/14512484,서울 성북구 고려대로24길 48 2층,,02-927-9200
무르무르드구스토,이탈리안,3.3,84,https://place.map.kakao.com/26869744,서울 성북구 고려대로 102-2 4층,,02-928-0683
스타벅스 종암DT점,커피전문점,2.8,10,https://place.map.kakao.com/1925239650,서울 성북구 종암로 17,,1522-3232
현고대닭발 본점,닭요리,4.2,44,https://place.map.kakao.com/8666853,서울 동대문구 제기로2길 42,,02-928-9995
디어브레드 고대점,"제과,베이커리",4.5,32,https://place.map.kakao.com/22590329,서울 성북구 개운사1길 29,,070-7661-4129
미뇽,카페,4.5,50,https://place.map.kakao.com/858190180,서울 동대문구 제기로2길 4 2층,,070-4300-0425
팔백집,갈비,3.6,67,https://place.map.kakao.com/2024769205,서울 성북구 고려대로27길 3,,02-921-5567
피카커피,커피전문점,4.4,5,https://place.map.kakao.com/25040137,서울 성북구 고려대로30길 29,,02-6339-3537
일곱평브런치,카페,3.5,12,https://place.map.kakao.com/1126853143,서울 동대문구 제기로5길 28 1층,,02-921-9979
용초수,중화요리,4.1,30,https://place.map.kakao.com/21401923,서울 성북구 고려대로27길 20,,02-922-7991
원조홍릉각,중화요리,3.2,70,https://place.map.kakao.com/8620226,서울 동대문구 약령시로 90,,02-969-7787
스타벅스 안암역점,커피전문점,3.9,10,https://place.map.kakao.com/18691197,서울 성북구 고려대로 102-2,,1522-3232
카페파인,카페,3.6,25,https://place.map.kakao.com/1565634100,"서울 동대문구 안암로22길 15 형준빌딩 1, 2층",,
한상차림밥상,한식,3.3,106,https://place.map.kakao.com/2108354197,서울 성북구 고려대로8길 35,,010-9073-4141
어흥식당 안암1호점,"스테이크,립",4.2,25,https://place.map.kakao.com/1047320817,서울 성북구 고려대로27길 40 1층,,
더테이블,이탈리안,3.4,28,https://place.map.kakao.com/1575631836,서울 동대문구 회기로 14 1층,,02-928-5097
와플앨리,"제과,베이커리",4.4,36,https://place.map.kakao.com/1665313840,서울 성북구 고려대로28길 21,,02-928-3115
쿠이도라쿠,일본식라면,2.9,27,https://place.map.kakao.com/16621049,서울 성북구 안암로 103,,02-929-9290
삼성통닭 본점,치킨,3.6,27,https://place.map.kakao.com/946837172,서울 성북구 고려대로24길 60,,02-922-0077
팔백집,갈비,3.6,276,https://place.map.kakao.com/335111559,서울 성북구 보문로30길 46,,02-928-0032
고래돈가스 고대점,"돈까스,우동",4.1,26,https://place.map.kakao.com/24529027,서울 동대문구 안암로 154,,02-953-6592
이세돈가스 고려대점,"돈까스,우동",4.3,28,https://place.map.kakao.com/395796193,서울 성북구 개운사길 32 1층,,02-927-7749
근처식당,동남아음식,3.6,77,https://place.map.kakao.com/1252013552,서울 성북구 회기로3길 2,,010-7470-4393
트라타,"멕시칸,브라질",2.5,26,https://place.map.kakao.com/579931990,서울 성북구 고려대로28길 14,,02-921-0901
매스플레이트 안암본점,이탈리안,3.9,24,https://place.map.kakao.com/24073778,서울 성북구 개운사길 18,,
더씨,중화요리,4.0,18,https://place.map.kakao.com/8888752,서울 성북구 개운사길 8 2층,,02-928-1259
연어이야기,"해물,생선",4.7,32,https://place.map.kakao.com/1160949880,서울 동대문구 고산자로 528-1,,02-957-0110
홍능갈비집 본점,갈비,3.3,21,https://place.map.kakao.com/8622755,서울 동대문구 제기로 85,,02-965-0420
