name,category,rating,review,link,addr,hour,tel
을밀대 본점,냉면,4.0,514,https://place.map.kakao.com/25048467,서울 마포구 숭문길 24,,02-717-1922
도꼭지,한식,3.3,251,https://place.map.kakao.com/2019896158,서울 마포구 백범로10길 30 1층,,02-711-0431
연남서식당,갈비,3.6,123,https://place.map.kakao.com/10658514,서울 마포구 백범로2길 32,,02-716-2520
돈카츠윤석,"돈까스,우동",3.8,239,https://place.map.kakao.com/692466501,서울 마포구 백범로10길 30 1층,,02-712-0431
신촌형제갈비,갈비,2.5,85,https://place.map.kakao.com/15937430,서울 서대문구 명물1길 2,,02-365-0001
아소정,냉면,3.2,200,https://place.map.kakao.com/7990640,서울 마포구 백범로25길 9,,02-703-5959
비로소커피,커피전문점,4.2,124,https://place.map.kakao.com/932278140,서울 마포구 광성로6길 42 1층,,02-712-9030
수저가,중화요리,4.5,59,https://place.map.kakao.com/651155763,서울 마포구 광성로4길 10 1층,,02-702-6966
또보겠지떡볶이집 신촌히어로점,떡볶이,4.3,198,https://place.map.kakao.com/27243051,서울 서대문구 연세로4길 19 2층,,
더파이홀,디저트카페,3.9,218,https://place.map.kakao.com/1011256721,서울 서대문구 연세로5나길 20,,02-334-1181
부엉이돈가스 신촌점,"돈까스,우동",3.9,51,https://place.map.kakao.com/26615188,서울 서대문구 연세로4길 62,,02-312-1216
요수정,이탈리안,3.7,61,https://place.map.kakao.com/20313670,서울 마포구 광성로 28 상가 1층,,010-5189-5368
정육면체,퓨전요리,3.6,268,https://place.map.kakao.com/1705674698,서울 서대문구 연세로5다길 22-8 1층 101호,,070-4179-3819
연어초밥,"초밥,롤",4.8,72,https://place.map.kakao.com/1249793784,서울 서대문구 연세로2길 94 1층 3호,,02-313-2611
온달만두분식,분식,3.1,27,https://place.map.kakao.com/17025073,서울 마포구 백범로 109,,02-3272-1892
이빠네마그릴,"멕시칸,브라질",4.2,97,https://place.map.kakao.com/27560694,서울 서대문구 연세로4길 6 2층,,02-365-6118
신촌해물칼국수,국수,4.3,93,https://place.map.kakao.com/835699876,서울 서대문구 신촌로 125 2층,,02-363-1553
신촌서서갈비,갈비,3.9,7,https://place.map.kakao.com/7974203,서울 마포구 서강로20길 10,,02-707-3886
라구식당,이탈리안,3.8,299,https://place.map.kakao.com/26976526,서울 서대문구 연세로 42-24,,02-364-2224
클로리스 신촌점,카페,4.2,94,https://place.map.kakao.com/8122805,서울 서대문구 연세로4길 38,,02-392-7523
엠브로돈까스 신촌점,"돈까스,우동",3.8,77,https://place.map.kakao.com/243549280,서울 서대문구 명물길 26,,02-363-5241
원조기사님분식,기사식당,4.7,15,https://place.map.kakao.com/15623983,서울 마포구 대흥로 98,,02-706-7825
소신이쏘,갈비,3.9,192,https://place.map.kakao.com/26522526,서울 서대문구 연세로5가길 19 1층,,02-324-3245
복성각,중화요리,3.2,37,https://place.map.kakao.com/7892863,서울 서대문구 명물1길 24,,02-364-1522
로운샤브샤브 신촌점,샤브샤브,2.6,112,https://place.map.kakao.com/26874633,서울 마포구 신촌로 94 신촌그랜드마트 4층,,
고르드,디저트카페,2.5,183,https://place.map.kakao.com/26409687,서울 서대문구 연세로 32 1~4층,,02-365-9566
미스터서왕만두,분식,4.4,59,https://place.map.kakao.com/26786725,서울 서대문구 신촌역로 16,,02-312-8869
램랜드,"육류,고기",4.1,90,https://place.map.kakao.com/7859798,서울 마포구 토정로 255,,02-704-0223
신촌수제비,수제비,3.3,74,https://place.map.kakao.com/12502450,서울 서대문구 신촌로 87-8 1층,,02-334-9252
정정,중화요리,3.9,67,https://place.map.kakao.com/994825918,서울 마포구 백범로24길 27,,02-6080-4058
여우골,"초밥,롤",3.4,75,https://place.map.kakao.com/27015866,서울 서대문구 연세로5다길 10,,
카페미뇽 신촌점,디저트카페,3.3,50,https://place.map.kakao.com/2038870116,서울 서대문구 신촌로 87-12 1층~5층,,02-338-5553
반서울,퓨전요리,3.6,182,https://place.map.kakao.com/1447929145,서울 서대문구 이화여대길 87,,070-8882-0110
계고기집,닭요리,4.0,116,https://place.map.kakao.com/27029392,서울 마포구 백범로24길 1,,02-717-7624
루아르커피바 대흥점,카페,4.2,97,https://place.map.kakao.com/2041323022,서울 마포구 독막로34길 32 1층,,
유닭스토리 신촌점,닭요리,3.7,117,https://place.map.kakao.com/19243601,서울 서대문구 연세로4길 7 1층,,02-6012-9563
미도인 신촌점,"스테이크,립",3.9,253,https://place.map.kakao.com/594421253,서울 서대문구 명물길 33 2층,,
신촌황소곱창 신촌본점,"곱창,막창",2.1,153,https://place.map.kakao.com/15847929,서울 서대문구 연세로9길 31 1층,,02-337-2640
철길왕갈비살,갈비,3.5,117,https://place.map.kakao.com/13091834,서울 마포구 와우산로32길 24,,02-3143-2801
댓커피,카페,4.4,107,https://place.map.kakao.com/1424646256,서울 마포구 백범로1길 60 1층,,0507-1356-7188
부탄츄 신촌점,일본식라면,3.4,130,https://place.map.kakao.com/21572456,서울 서대문구 연세로5길 26-9,,02-3144-6604
에이투지카페,커피전문점,3.6,81,https://place.map.kakao.com/13594462,서울 서대문구 연세로4길 29,,02-313-7523
마더린러베이글,"제과,베이커리",3.7,145,https://place.map.kakao.com/27562577,서울 서대문구 이화여대5길 5 1층,,070-7758-3030
방콕익스프레스 신촌본점,동남아음식,3.4,110,https://place.map.kakao.com/1489709008,서울 서대문구 연세로2길 91,,02-6401-7793
김진환제과점,"제과,베이커리",4.3,39,https://place.map.kakao.com/11831384,서울 마포구 와우산로32길 41,,02-325-0378
비밀,"제과,베이커리",3.9,87,https://place.map.kakao.com/1581324681,서울 서대문구 이화여대7길 48 1층 101호,,02-313-0877
독수리다방,다방,4.3,83,https://place.map.kakao.com/18826661,서울 서대문구 연세로 36 독수리빌딩 8층,,02-363-1222
녹기전에,아이스크림,4.6,99,https://place.map.kakao.com/712881606,서울 마포구 백범로 127-24 1층,,070-8829-8020
후엘고,카페,4.3,78,https://place.map.kakao.com/640140088,서울 마포구 마포대로11길 118 1층,,02-712-9265
꼬숑돈까스,"돈까스,우동",3.5,112,https://place.map.kakao.com/27144649,서울 서대문구 명물1길 2 1층,,
메이찬,중화요리,3.1,131,https://place.map.kakao.com/226563214,서울 마포구 백범로1길 12,,02-716-7777
브로일링 커피,커피전문점,4.6,31,https://place.map.kakao.com/27306228,서울 마포구 광성로 37-8,,02-712-8512
쭈꾸미블루스 신촌본점,"해물,생선",2.9,105,https://place.map.kakao.com/27224581,서울 마포구 백범로1길 21,,02-701-5996
역전할머니맥주 서울신촌점,"호프,요리주점",2.6,72,https://place.map.kakao.com/1078291399,서울 서대문구 연세로7길 25,,02-334-4569
현명식탁,이탈리안,4.1,196,https://place.map.kakao.com/1227036908,서울 서대문구 명물길 32 5층,,02-2088-1229
가례원,"떡,한과",3.8,72,https://place.map.kakao.com/18287294,서울 서대문구 연세로5다길 12,,02-333-1525
미분당 신촌2호점,베트남음식,3.8,140,https://place.map.kakao.com/1985785355,서울 서대문구 연세로5길 26-7,,02-3141-9494
살구다방,카페,4.7,32,https://place.map.kakao.com/789449187,서울 마포구 광성로6길 56 1층,,
조선초가한끼,한식,3.6,70,https://place.map.kakao.com/20027117,서울 마포구 독막로 288 세양아파트상가 1층,,02-712-0080
스타벅스 신촌점,커피전문점,4.1,34,https://place.map.kakao.com/10538396,서울 서대문구 연세로 10-1 즐거운빌딩 1~3층,,1522-3232
투썸플레이스 신촌점,커피전문점,3.3,35,https://place.map.kakao.com/11221603,서울 서대문구 신촌로 93 1층,,02-3142-5995
대전해장국전문,해장국,4.7,52,https://place.map.kakao.com/16047603,서울 마포구 고산7길 25 1층,,02-713-5475
카라멘야,일본식라면,4.2,189,https://place.map.kakao.com/1025832828,서울 서대문구 연세로7안길 34-1 1층,,0507-1320-6221
역전회관,"불고기,두루치기",3.2,129,https://place.map.kakao.com/18279130,서울 마포구 토정로37길 47,,02-703-0019
한림돈가,"육류,고기",4.0,75,https://place.map.kakao.com/27588088,서울 서대문구 연세로7안길 16-4,,02-338-6604
기꾸스시,"초밥,롤",3.6,88,https://place.map.kakao.com/21236405,서울 서대문구 연세로5다길 35,,02-324-5356
이요이요스시 공덕1호점,"초밥,롤",4.1,107,https://place.map.kakao.com/20627074,서울 마포구 마포대로 167 공덕래미안5차아파트 상가 106호,,02-306-0372
거구장,한정식,3.7,5,https://place.map.kakao.com/77380285,서울 마포구 백범로 23,,02-715-3610
와플잇업 이대2호점,디저트카페,4.2,42,https://place.map.kakao.com/17153633,서울 서대문구 이화여대3길 42-19,,070-4410-2829
레드버튼 신촌점,보드카페,4.9,16,https://place.map.kakao.com/1520672825,서울 서대문구 연세로 8 3층,,02-363-3799
버거킹 신촌1점,패스트푸드,2.8,12,https://place.map.kakao.com/8375653,서울 서대문구 신촌로 121 1층,,070-7438-6531
아웃백스테이크하우스 신촌점,패밀리레스토랑,3.9,97,https://place.map.kakao.com/7991188,서울 서대문구 연세로12길 33,,02-3147-1871
무사시,"돈까스,우동",4.4,18,https://place.map.kakao.com/8334925,서울 서대문구 신촌로 125,,02-363-5460
호밀밭,카페,4.2,113,https://place.map.kakao.com/19852273,서울 서대문구 신촌역로 43,,02-392-5345
부추곱창,"곱창,막창",4.3,62,https://place.map.kakao.com/1487480541,서울 서대문구 연세로5나길 30-16 1층,,02-336-8334
투썸플레이스 신촌점,커피전문점,3.3,35,https://place.map.kakao.com/11221603,서울 서대문구 신촌로 93 1층,영업시간 매일 08:00 ~ 24:00,02-3142-5995
대전해장국전문,해장국,4.7,52,https://place.map.kakao.com/16047603,서울 마포구 고산7길 25 1층,매일 15:00 ~ 01:00,02-713-5475
카라멘야,일본식라면,4.2,189,https://place.map.kakao.com/1025832828,서울 서대문구 연세로7안길 34-1 1층,영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00,0507-1320-6221
역전회관,"불고기,두루치기",3.2,129,https://place.map.kakao.com/18279130,서울 마포구 토정로37길 47,영업시간 월~금 11:00 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-703-0019
한림돈가,"육류,고기",4.0,75,https://place.map.kakao.com/27588088,서울 서대문구 연세로7안길 16-4,매일 15:00 ~ 01:00,02-338-6604
기꾸스시,"초밥,롤",3.6,88,https://place.map.kakao.com/21236405,서울 서대문구 연세로5다길 35,영업시간 매일 11:30 ~ 22:00 · 브레이크타임 월~금 13:00 ~ 17:00,02-324-5356
이요이요스시 공덕1호점,"초밥,롤",4.1,107,https://place.map.kakao.com/20627074,서울 마포구 마포대로 167 공덕래미안5차아파트 상가 106호,영업시간 월~토 12:00 ~ 21:30 · 점심시간 월~토 15:00 ~ 18:00,02-306-0372
거구장,한정식,3.7,5,https://place.map.kakao.com/77380285,서울 마포구 백범로 23,영업시간 매일 11:00 ~ 21:30,02-715-3610
와플잇업 이대2호점,디저트카페,4.2,42,https://place.map.kakao.com/17153633,서울 서대문구 이화여대3길 42-19,영업시간 매일 12:00 ~ 22:00,070-4410-2829
레드버튼 신촌점,보드카페,4.9,16,https://place.map.kakao.com/1520672825,서울 서대문구 연세로 8 3층,월~목 13:00 ~ 01:00,02-363-3799
