name,category,rating,review,link,addr,hour,tel
나주곰탕 서울대점,한정식,3.8,15,https://place.map.kakao.com/19781967,서울 관악구 관악로 167,,02-886-6266
파스쿠찌 서울대점,커피전문점,3.2,9,https://place.map.kakao.com/17768857,서울 관악구 관악로 1 사범대간이식당 111동,,02-882-8497
서울대학교 자하연식당,구내식당,3.5,2,https://place.map.kakao.com/16045596,서울 관악구 관악로 1,,02-880-7889
BBQ 서울대글로벌공학관점,치킨,2.8,9,https://place.map.kakao.com/22119065,서울 관악구 관악로 1 글로벌공학교육센터,,02-878-6690
투썸플레이스 서울대점,커피전문점,4,3,https://place.map.kakao.com/1501452389,서울 관악구 관악로 1 자연과학대학 500동,,02-884-2385
두레미담 서울대1호점,한식,3.5,7,https://place.map.kakao.com/27494749,서울 관악구 신림동 산 56-1 서울대학교 농생대옆 75-1동 5층,,02-880-9358
서울대학교 공대간이식당,구내식당,4.3,4,https://place.map.kakao.com/12544250,서울 관악구 신림동 산 56-1,,02-889-8956
락구정,한정식,2,2,https://place.map.kakao.com/23345881,서울 관악구 관악로 1 서울대학교 38동 글로벌공학교육센터 지하 1층,,02-875-8840
파란코끼리,한식,2.3,14,https://place.map.kakao.com/1841041243,서울 관악구 신림동 산 56-1 서울대학교 관악캠퍼스 신양학술정보관3 16-1동 1층,,02-878-8020
롯데리아 서울대점,패스트푸드,1.1,1,https://place.map.kakao.com/26477415,서울 관악구 관악로 1 2층,,02-877-8444
라운지오 서울대점,양식,2.6,6,https://place.map.kakao.com/21539038,서울 관악구 관악로 1,,02-882-7005
파스쿠찌 서울대관정도서관점,커피전문점,4,0,https://place.map.kakao.com/2058698940,"서울 관악구 관악로 1 2,3층",,02-875-8497
서울대학교 제3학생식당,구내식당,4.5,1,https://place.map.kakao.com/13096130,서울 관악구 신림동 194 서울대학교 75-1동,,
더랩카페 서울대점,카페,3,1,https://place.map.kakao.com/1591298830,서울 관악구 신림동 산 56-1 해동학술관 내,,02-888-8288
더랩 서울대학교 사범대점,카페,3.8,2,https://place.map.kakao.com/403434650,서울 관악구 관악로 1 기초사범교육협력센터 1층,,02-878-8880
10인치샌드위치&커피 서울대본점,샌드위치,4,11,https://place.map.kakao.com/606028632,서울 관악구 관악로 1 서울대학교 기숙사 900동,,02-881-9211
포포인 서울대학교점,동남아음식,3.1,9,https://place.map.kakao.com/990381991,서울 관악구 관악로 1 서울대학교 대림국제관 지하 1층,,02-878-5060
더로스터59,커피전문점,4.5,5,https://place.map.kakao.com/730617380,서울 관악구 관악로 1 서울대학교 59-1동 2층,,
서울대학교대학원 기숙사식당,구내식당,0,0,https://place.map.kakao.com/21330637,서울 관악구 관악로 1 서울대학교 관악학생생활관 901동,,
서울대이야기카페,카페,4.2,9,https://place.map.kakao.com/15821571,서울 관악구 관악로 1 법학도서관 1층,,02-887-2060
할리스 서울대예술문화점,커피전문점,3.5,4,https://place.map.kakao.com/26779722,서울 관악구 관악로 1 예술계복합연구동 1층,,02-877-7186
서울대학교 감골식당 (휴업중),구내식당,0,2,https://place.map.kakao.com/1543104912,서울 관악구 관악로 1 101동 1층,,02-880-5544
서울대학교 제1식당,구내식당,0,2,https://place.map.kakao.com/13128314,서울 관악구 관악로 1 서울대학교 63동 1층,,02-880-5543
나인온스버거 서울대점,햄버거,3.6,11,https://place.map.kakao.com/968745965,"서울 관악구 신림동 산 56-1 유회진학술정보관 300동 지하1층 B101, B102호",,02-878-9028
봉구스밥버거 서울대공대점,주먹밥,4.6,0,https://place.map.kakao.com/1374301539,서울 관악구 관악로 1 신양학술정보관,,02-873-5970
퀴즈노스서브 서울대글로벌생활관점,샌드위치,4,2,https://place.map.kakao.com/617098468,서울 관악구 봉천동 산 4-2 916동 지하1층 B108호,,02-872-9329
마리아쥬제이,한식,0,0,https://place.map.kakao.com/1688391730,서울 관악구 관악로 1 서울대학교 교수회관,,
카페그랑,카페,1.7,0,https://place.map.kakao.com/13274535,서울 관악구 관악로 1 서울대학교 신축기숙사 1층,,02-881-9204
텐카이핀 서울대지점,퓨전일식,2.7,4,https://place.map.kakao.com/27441754,서울 관악구 관악로 1 대림국제관 137-2동 지하1층,,02-875-2203
동원관 서울대학교점,일식,3.5,0,https://place.map.kakao.com/13143032,서울 관악구 관악로 1,,02-880-8699
블루포트 서울대점,카페,3.8,0,https://place.map.kakao.com/1181902948,서울 관악구 봉천동 산 4-2 916동 지하1층,,02-465-1121
파리바게뜨 서울대학교점,"제과,베이커리",3.5,0,https://place.map.kakao.com/26512727,서울 관악구 관악로 1 관정도서관 2층,,02-875-8292
