name,category,rating,review,link,addr,hour,tel
나누미떡볶이 성대본점,떡볶이,3.3,229,https://place.map.kakao.com/10199904,서울 종로구 성균관로 9-1,,02-747-0881
성북동메밀수제비누룽지백숙,닭요리,3.6,162,https://place.map.kakao.com/8218085,서울 성북구 성북로31길 9,,02-764-0707
혜화칼국수,국수,3.3,185,https://place.map.kakao.com/8176347,서울 종로구 창경궁로35길 13,,02-743-8212
쌍다리돼지불백 본점,기사식당,3.2,68,https://place.map.kakao.com/23300753,서울 성북구 성북로23길 4,,02-743-0325
호호식당 대학로점,일식,3.3,401,https://place.map.kakao.com/561633351,서울 종로구 대학로9길 35 1층,,02-741-2384
블랑제메종북악,디저트카페,3.2,297,https://place.map.kakao.com/824146965,서울 성북구 성북로 156,,02-747-0305
페르시안궁전,인도음식,4.1,197,https://place.map.kakao.com/11520636,서울 종로구 성균관로6길 9,,02-763-6050
혜화도담,한식,4.3,211,https://place.map.kakao.com/497931179,서울 종로구 대명1길 16-6 1층,,02-744-9850
수연산방,전통찻집,3.3,141,https://place.map.kakao.com/7940056,서울 성북구 성북로26길 8,,02-764-1736
벅벅,햄버거,4.8,36,https://place.map.kakao.com/1283619888,서울 종로구 명륜길 48 1층,,010-5739-9909
1940금문,중화요리,2.7,65,https://place.map.kakao.com/8700075,서울 종로구 창경궁로 269-1,,02-762-0918
금왕돈까스 본점,"돈까스,우동",2.8,154,https://place.map.kakao.com/8238823,서울 성북구 성북로 138,,02-763-9366
마로화적,갈비,3.7,45,https://place.map.kakao.com/138122831,서울 종로구 성균관로16길 5,,02-763-0315
정돈,"돈까스,우동",3.7,298,https://place.map.kakao.com/27306859,서울 종로구 대학로9길 12 지하1층,,02-987-0924
뎁짜이,베트남음식,3.8,215,https://place.map.kakao.com/916333750,서울 종로구 대학로11길 41-4,,02-763-1915
칸다소바 혜화점,일본식라면,4.3,79,https://place.map.kakao.com/1340493944,서울 종로구 대학로 131-1 1층,,02-747-1662
카페키이로,커피전문점,4.0,121,https://place.map.kakao.com/468528939,서울 종로구 창경궁로26길 41-3 2층,,02-747-0848
깔리,인도음식,4.1,186,https://place.map.kakao.com/21332445,서울 종로구 대학로11길 43,,02-747-5050
명륜손칼국수,국수,4.4,20,https://place.map.kakao.com/7870740,서울 종로구 혜화로 45-5,,02-742-8662
학림다방,다방,4.1,219,https://place.map.kakao.com/8143287,서울 종로구 대학로 119 2층,,02-742-2877
훠궈나라 대학로본점,샤브샤브,4.1,140,https://place.map.kakao.com/2878433,서울 종로구 창경궁로 242 2층,,02-765-1592
버거파크 혜화점,햄버거,4.4,579,https://place.map.kakao.com/1252440966,서울 종로구 대학로11길 5 1층,,02-747-3005
알렉스더커피 성북점,커피전문점,3.2,102,https://place.map.kakao.com/27464878,서울 성북구 성북로28길 9,,
칠린,카페,3.5,159,https://place.map.kakao.com/1067900892,서울 종로구 대학로11길 41-8 1층,,
mrd,카페,3.1,79,https://place.map.kakao.com/939605528,서울 종로구 성균관로7길 32,,
낫컴플리트,카페,4.1,107,https://place.map.kakao.com/2015397398,서울 종로구 성균관로 12-5 2층,,02-747-3290
성북동집,국수,3.8,43,https://place.map.kakao.com/7948105,서울 성북구 성북로24길 4,,02-747-6234
멘야산다이메 대학로점,일본식라면,3.7,139,https://place.map.kakao.com/14503615,서울 종로구 창경궁로26길 38-2 1층,,02-743-4129
하이디라오 대학로점,아시아음식,3.6,88,https://place.map.kakao.com/731469845,서울 종로구 대학로 146 3층,,02-743-6868
순대실록 대학로본점,순대,3.6,162,https://place.map.kakao.com/22961938,서울 종로구 동숭길 127 우성빌딩 2층,,02-742-5338
조비스그릴 성북점,아시아음식,4.3,112,https://place.map.kakao.com/1067041783,서울 성북구 성북로 110,,02-763-3096
서울왕돈까스 성북동본점,"돈까스,우동",2.6,52,https://place.map.kakao.com/7937741,서울 성북구 창경궁로35다길 140,,02-766-9370
오박사네왕돈까스,"돈까스,우동",2.7,62,https://place.map.kakao.com/15917933,서울 성북구 혜화로 80,,02-3673-5730
촌놈,삼겹살,4.6,168,https://place.map.kakao.com/26792792,서울 종로구 대학로8가길 48 연경빌딩 2층,,02-743-1011
도토리편백집 대학로점,"육류,고기",3.1,209,https://place.map.kakao.com/1705574276,서울 종로구 창경궁로34길 26 2층,,02-747-3392
성북동돼지갈비 본점,갈비,2.7,38,https://place.map.kakao.com/10479275,서울 성북구 성북로 115,,02-764-2420
TXT커피,카페,4.3,40,https://place.map.kakao.com/783445002,서울 종로구 창덕궁길 121,,070-7760-0121
편안한집,한정식,3.6,26,https://place.map.kakao.com/8578960,서울 종로구 북촌로 133,,02-735-0092
브라운에비뉴,카페,4.2,67,https://place.map.kakao.com/295738267,서울 종로구 혜화로3길 5 명륜주상복합아파트 301동 1층 112호,,02-762-8334
두레유,한식,2.7,38,https://place.map.kakao.com/1716602465,서울 종로구 북촌로 65,,02-743-2468
독일주택,칵테일바,3.9,116,https://place.map.kakao.com/25463398,서울 종로구 대명1길 16-4 1층,,02-742-1933
우주제빵소,"제과,베이커리",4.3,39,https://place.map.kakao.com/2025031703,"서울 성북구 성북로28길 13 지하1층,1,2층",,02-6959-7558
소친친,퓨전요리,3.9,90,https://place.map.kakao.com/26628758,서울 종로구 대명길 39-9 2층,,02-742-8594
호랑이카레,일식,3.8,149,https://place.map.kakao.com/352101534,서울 종로구 계동길 112 지하 1층,,0507-1429-2089
무던,카페,4.8,52,https://place.map.kakao.com/160692195,"서울 종로구 성균관로4길 3 1,2층",,010-3883-1036
조비스그릴 성북점,아시아음식,4.3,112,https://place.map.kakao.com/1067041783,서울 성북구 성북로 110,영업시간 화~일 11:30 ~ 22:30,02-763-3096
서울왕돈까스 성북동본점,"돈까스,우동",2.6,52,https://place.map.kakao.com/7937741,서울 성북구 창경궁로35다길 140,영업시간 매일 09:00 ~ 24:00,02-766-9370
오박사네왕돈까스,"돈까스,우동",2.7,62,https://place.map.kakao.com/15917933,서울 성북구 혜화로 80,영업시간 매일 09:00 ~ 24:00,02-3673-5730
촌놈,삼겹살,4.6,168,https://place.map.kakao.com/26792792,서울 종로구 대학로8가길 48 연경빌딩 2층,영업시간 월~금 15:30 ~ 24:00,02-743-1011
도토리편백집 대학로점,"육류,고기",3.1,209,https://place.map.kakao.com/1705574276,서울 종로구 창경궁로34길 26 2층,영업시간 매일 11:30 ~ 24:00,02-747-3392
성북동돼지갈비 본점,갈비,2.7,38,https://place.map.kakao.com/10479275,서울 성북구 성북로 115,영업시간 매일 08:30 ~ 21:00,02-764-2420
