name,category,rating,review,link,addr,hour,tel
카덴 연희본점,일식,3.3,176,https://place.map.kakao.com/1449183784,서울 서대문구 연희로 173 거화빌딩 1층,,02-3142-6362
목란,중식,3.1,563,https://place.map.kakao.com/21359554,서울 서대문구 연희로15길 21,,02-732-0054
앤트러사이트 연희점,커피전문점,3.5,201,https://place.map.kakao.com/445165609,서울 서대문구 연희로 135,,02-332-7650
콘하스 연희점,카페,2.5,273,https://place.map.kakao.com/273114016,서울 서대문구 연희로27길 99,,02-325-0792
피터팬1978 본점,"제과,베이커리",4.1,95,https://place.map.kakao.com/15717572,서울 서대문구 증가로 10 연궁빌딩 1층,,02-336-4775
연경 연희점,중화요리,3.0,184,https://place.map.kakao.com/1076717674,서울 서대문구 연희로 145,,02-333-6655
고미정,한정식,3.6,116,https://place.map.kakao.com/27352120,서울 서대문구 연희로26길 28,,02-324-0016
수빈,한정식,3.2,45,https://place.map.kakao.com/15953085,서울 서대문구 연희로25길 31-3,,02-307-9979
연희동칼국수 본점,국수,3.1,140,https://place.map.kakao.com/8503628,서울 서대문구 연희맛로 37,,02-333-3955
매뉴팩트커피 연희본점,카페,4.3,133,https://place.map.kakao.com/21542432,서울 서대문구 연희로11길 29 2층,,02-6406-8777
시오 연희본점,일식집,3.3,97,https://place.map.kakao.com/27594107,서울 서대문구 연희로11가길 23 1층,,02-3144-6919
라이라이,중식,3.6,93,https://place.map.kakao.com/27305181,서울 서대문구 연희로15길 27,,
조은집,한정식,3.7,70,https://place.map.kakao.com/11831209,서울 서대문구 연희맛로 43,,02-323-8084
로덴드론,커피전문점,4.1,38,https://place.map.kakao.com/205823441,서울 서대문구 연희로25길 82,,02-332-2288
스타벅스 연희DT점,커피전문점,3.0,30,https://place.map.kakao.com/26571462,서울 서대문구 연희로 144,,1522-3232
녹원쌈밥,쌈밥,3.2,51,https://place.map.kakao.com/16904322,서울 서대문구 연희로25길 22,,02-336-9483
연희김밥 본점,분식,3.5,55,https://place.map.kakao.com/18521778,서울 서대문구 연희로11가길 2,,02-323-8090
이화원,중화요리,3.1,54,https://place.map.kakao.com/14511324,서울 서대문구 연희맛로 13,,02-334-1888
라구식당,이탈리안,3.8,299,https://place.map.kakao.com/26976526,서울 서대문구 연세로 42-24,,02-364-2224
유우,일식,4.4,28,https://place.map.kakao.com/23991500,서울 서대문구 연희로26길 23 지하1층,,02-3144-2578
폴앤폴리나 연희동점,"제과,베이커리",4.3,58,https://place.map.kakao.com/17981297,서울 서대문구 연희로11길 56 1층,,02-333-0185
스웨이커피스테이션,카페,4.3,137,https://place.map.kakao.com/1467009878,서울 서대문구 연희로11길 61,,02-6348-0061
책바,칵테일바,4.5,41,https://place.map.kakao.com/27114079,서울 서대문구 연희맛로 24 1층 101호,,02-6449-5858
월순철판동태찜 연희본점,"찌개,전골",4.5,57,https://place.map.kakao.com/16556460,서울 서대문구 연희맛로 17-14 1층,,02-325-1567
연희곰탕,곰탕,4.2,138,https://place.map.kakao.com/45834039,서울 서대문구 증가로 17,,02-336-1801
시간이머무는홍차가게,카페,4.7,39,https://place.map.kakao.com/23446983,서울 서대문구 연희로16길 7-15,,070-4843-3541
청송함흥냉면전문점 본관,냉면,3.4,88,https://place.map.kakao.com/8088062,서울 서대문구 연희맛로 6,,02-334-3545
에브리띵베이글,"제과,베이커리",3.7,135,https://place.map.kakao.com/768666442,서울 서대문구 연희로11길 29,,010-5588-5427
식탁 하늬솔점,이탈리안,2.8,54,https://place.map.kakao.com/27485513,서울 서대문구 성산로 527 하늬솔빌딩 1층,,02-362-0777
이품,중화요리,3.5,45,https://place.map.kakao.com/9348308,서울 서대문구 연희로11길 20,,02-322-6172
르솔레이,"제과,베이커리",4.3,110,https://place.map.kakao.com/1161755224,서울 서대문구 연희맛로 7-29 지하 1층,,0507-1315-6371
작은스페인,양식,2.3,96,https://place.map.kakao.com/26776693,서울 서대문구 연희로25길 37 1층,,02-322-8870
마우디,양식,3.2,115,https://place.map.kakao.com/171590084,서울 서대문구 연희로11길 18 1층,,02-6052-4522
효동각 본점,중화요리,2.9,19,https://place.map.kakao.com/26966311,서울 서대문구 연대동문길 24,,
스탠바이키친,양식,4.5,78,https://place.map.kakao.com/27273859,서울 서대문구 연대동문길 49,,02-365-6353
호천식당,한식,3.1,57,https://place.map.kakao.com/799489991,서울 서대문구 연희로14길 5,,02-334-0749
신촌형제갈비,갈비,2.5,85,https://place.map.kakao.com/15937430,서울 서대문구 명물1길 2,,02-365-0001
부엉이돈가스 신촌점,"돈까스,우동",3.9,51,https://place.map.kakao.com/26615188,서울 서대문구 연세로4길 62,,02-312-1216
푸어링아웃,카페,4.1,168,https://place.map.kakao.com/1980694762,서울 서대문구 연희로11나길 7-7,,
오향만두,중식,4.2,41,https://place.map.kakao.com/18657057,서울 서대문구 연희맛로 22,,02-323-3749
강수사,일식,3.4,5,https://place.map.kakao.com/8173078,서울 서대문구 연희로 157,,02-3141-4848
희게,양식,4.0,72,https://place.map.kakao.com/233266890,서울 서대문구 증가로 1,,
작은나폴리,이탈리안,2.9,69,https://place.map.kakao.com/24925090,서울 서대문구 증가로 13-9 2층,,02-306-8859
스시마쯔,"초밥,롤",3.8,24,https://place.map.kakao.com/854089661,서울 서대문구 연희로 166 1층,,02-3144-2129
진미,중화요리,3.6,23,https://place.map.kakao.com/27477818,서울 서대문구 연희맛로 36 1층,,02-322-8338
연희미식,중식,4.5,35,https://place.map.kakao.com/47688344,서울 서대문구 연희맛로 22 삼원빌딩 1층,,02-333-2119
복성각,중화요리,3.2,37,https://place.map.kakao.com/7892863,서울 서대문구 명물1길 24,,02-364-1522
만동제과,"제과,베이커리",4.3,620,https://place.map.kakao.com/1165755646,서울 서대문구 연희로 32,,02-6489-2334
맥널티커피팩토리,커피전문점,2.9,13,https://place.map.kakao.com/581457821,서울 서대문구 연희로 152 맥널티빌딩 1층,,02-332-0085
고르드,디저트카페,2.5,183,https://place.map.kakao.com/26409687,서울 서대문구 연세로 32 1~4층,,02-365-9566
신촌황소곱창 신촌본점,"곱창,막창",2.1,153,https://place.map.kakao.com/15847929,서울 서대문구 연세로9길 31 1층,,02-337-2640
독수리다방,다방,4.3,83,https://place.map.kakao.com/18826661,서울 서대문구 연세로 36 독수리빌딩 8층,,02-363-1222
포포브레드,"제과,베이커리",4.9,65,https://place.map.kakao.com/363670536,서울 서대문구 증가로 18,,02-332-2044
비하인드리메인,카페,3.5,52,https://place.map.kakao.com/2104602457,서울 서대문구 연희로11라길 10-6,,02-3141-7212
파올로데마리아,이탈리안,3.6,52,https://place.map.kakao.com/1815812863,서울 서대문구 연희로26길 24,,02-599-9936
테일러커피 연남1호점,카페,3.8,194,https://place.map.kakao.com/27508963,서울 마포구 성미산로 189 1층,,02-326-0355
반서울,퓨전요리,3.6,182,https://place.map.kakao.com/1447929145,서울 서대문구 이화여대길 87,,070-8882-0110
아웃백스테이크하우스 신촌점,패밀리레스토랑,3.9,97,https://place.map.kakao.com/7991188,서울 서대문구 연세로12길 33,,02-3147-1871
노아스로스팅 헤리티지점,카페,3.9,33,https://place.map.kakao.com/1142768556,서울 서대문구 연희로 160 1층,,02-3141-6356
수라면옥 연희점,냉면,3.5,10,https://place.map.kakao.com/1657202685,서울 서대문구 연희로25길 81,,02-336-2257
평택고여사집냉면,냉면,4.0,26,https://place.map.kakao.com/10161291,서울 서대문구 연희로 81-9 1층,,02-392-7461
일룸 엄마의서재,북카페,4.7,27,https://place.map.kakao.com/1555123471,서울 서대문구 연희로 148 1층,,02-322-1132
연희일품향,중화요리,4.4,13,https://place.map.kakao.com/827561217,서울 서대문구 연희로 143 1층,,02-336-9588
미도인 신촌점,"스테이크,립",3.9,253,https://place.map.kakao.com/594421253,서울 서대문구 명물길 33 2층,,
소이연남,동남아음식,3.9,588,https://place.map.kakao.com/25479306,서울 마포구 동교로 267,,02-323-5130
미쁘동,일식,3.8,447,https://place.map.kakao.com/1087043762,서울 마포구 동교로38길 33-21 2층,,070-4242-1881
비스트로카덴,양식,3.0,19,https://place.map.kakao.com/38990142,서울 서대문구 연희로25길 12,,
또보겠지떡볶이집 신촌히어로점,떡볶이,4.3,198,https://place.map.kakao.com/27243051,서울 서대문구 연세로4길 19 2층,,
커피리브레 연남점,커피전문점,3.4,113,https://place.map.kakao.com/11553130,서울 마포구 성미산로 200,,02-334-0615
엠브로돈까스 신촌점,"돈까스,우동",3.8,77,https://place.map.kakao.com/243549280,서울 서대문구 명물길 26,,02-363-5241
긴자료코 연희직영점,일식,3.0,50,https://place.map.kakao.com/1661527646,서울 서대문구 연희로12길 8 1층,,02-336-1525
걸리부,중화요리,4.1,11,https://place.map.kakao.com/8186587,서울 서대문구 연희맛로 31 2층,,02-322-9998
멘야산다이메 연희점,일본식라면,3.7,24,https://place.map.kakao.com/1284925021,서울 서대문구 연희로 81-5 평화빌딩 1층 2호,,02-336-4129
호밀밭,카페,4.2,113,https://place.map.kakao.com/19852273,서울 서대문구 신촌역로 43,,02-392-5345
가마마루이,일본식라면,4.0,72,https://place.map.kakao.com/12342064,서울 서대문구 성산로22길 4,,02-3142-3929
클로리스 신촌점,카페,4.2,94,https://place.map.kakao.com/8122805,서울 서대문구 연세로4길 38,,02-392-7523
탭스터,"호프,요리주점",4.7,19,https://place.map.kakao.com/1139437500,서울 서대문구 증가로 1 1층 103호,,070-7576-2448
그릭데이 이대점,디저트카페,3.5,46,https://place.map.kakao.com/577825774,서울 서대문구 이화여대길 88-21 2층,,02-363-9222
스타벅스 연희동점,커피전문점,3.2,9,https://place.map.kakao.com/1432966034,서울 서대문구 연희로 97,,1522-3232
더양,"육류,고기",4.3,3,https://place.map.kakao.com/1689995074,서울 서대문구 연희맛로 36,,02-336-7389
카라멘야,일본식라면,4.2,189,https://place.map.kakao.com/1025832828,서울 서대문구 연세로7안길 34-1 1층,,0507-1320-6221
