name,category,rating,review,link,addr,hour,tel
닥터로빈 흑석점,양식,4.1,56,https://place.map.kakao.com/955711488,서울 동작구 현충로 124 뉴지엄 1층,,02-3280-3103
수목식당,한식,3.3,173,https://place.map.kakao.com/18751205,서울 동작구 서달로14나길 28,,02-816-3556
뚜스뚜스 흑석역점,카페,3.2,61,https://place.map.kakao.com/202438281,서울 동작구 현충로 75 1층,,02-3664-9000
터방내,커피전문점,4.5,68,https://place.map.kakao.com/16593550,서울 동작구 흑석로 101-7,,02-813-4434
다래식당,한식,3.1,79,https://place.map.kakao.com/8221289,서울 동작구 만양로2길 2,,02-812-4156
오후홍콩 중앙대본점,디저트카페,4.2,53,https://place.map.kakao.com/587570196,서울 동작구 흑석로13가길 29,,02-3280-2028
펠어커피 상도점,카페,4.1,78,https://place.map.kakao.com/14352981,서울 동작구 상도로41가길 12 1층,,070-8879-8585
스타벅스 중앙대점,커피전문점,4.2,11,https://place.map.kakao.com/1746397370,서울 동작구 흑석로 75-1,,1522-3232
프랑세즈,디저트카페,4.7,42,https://place.map.kakao.com/18771379,서울 동작구 현충로 96,,02-825-5265
마포최대포숯불갈비,갈비,4.0,27,https://place.map.kakao.com/16557153,서울 동작구 서달로14길 11,,02-817-0738
우뇽뚝배기스파게티,이탈리안,3.9,32,https://place.map.kakao.com/22577117,서울 동작구 서달로10길 10 2층,,02-816-6338
고봉삼계탕 중앙대점,삼계탕,2.7,25,https://place.map.kakao.com/1915410994,서울 동작구 서달로 166 1층,,02-824-3339
릿잇커피,카페,5.0,15,https://place.map.kakao.com/2120408316,서울 동작구 상도로47바길 48 1층,,070-8866-4344
안동장,중화요리,2.0,10,https://place.map.kakao.com/16904507,서울 동작구 흑석로 105-1,,02-812-0077
은행골 중대점,"초밥,롤",2.2,39,https://place.map.kakao.com/1840298161,서울 동작구 흑석로 107,,02-858-4988
장독대,"호프,요리주점",4.2,33,https://place.map.kakao.com/15727417,서울 동작구 흑석로 112,,02-824-0709
커피나무 랩,카페,4.5,8,https://place.map.kakao.com/1725460486,서울 동작구 상도로53길 65 커피나무빌딩 1층,,02-824-1391
맥도날드 중앙대점,패스트푸드,3.4,3,https://place.map.kakao.com/14091840,서울 동작구 흑석로 84 R&D센터 지하1층,,070-7017-1417
칠기마라탕 중앙대점,중화요리,4.4,31,https://place.map.kakao.com/1656084578,"서울 동작구 흑석로13가길 43 2,3층",,02-817-7798
진상천 중앙대점,중화요리,4.1,22,https://place.map.kakao.com/31170476,서울 동작구 흑석로 101-7,,02-825-6755
사리원,한식,2.9,39,https://place.map.kakao.com/25044677,서울 동작구 상도로50길 2-15,,02-814-6022
더진국 중앙대점,국밥,3.0,5,https://place.map.kakao.com/27278262,서울 동작구 흑석로 83-1 1층,,02-815-2229
커리야 중앙대점,인도음식,3.6,9,https://place.map.kakao.com/1046247462,"서울 동작구 흑석로 97-4 지하1층,1층",,02-812-9991
순대나라,순대,4.6,21,https://place.map.kakao.com/18832290,서울 동작구 서달로12가길 5,,02-815-0937
흑석동주주총회,회,4.8,18,https://place.map.kakao.com/1481552838,서울 동작구 서달로14가길 9 1층,,02-812-6685
성민양꼬치,양꼬치,4.3,34,https://place.map.kakao.com/19748751,서울 동작구 서달로14나길 9,,02-816-8522
은희네온집닭떡볶이,떡볶이,4.5,39,https://place.map.kakao.com/1671972109,서울 동작구 상도로41길 35 1층,,02-816-4529
미니자이언트,이탈리안,4.3,8,https://place.map.kakao.com/27213897,서울 동작구 흑석로 81-6,,
