name,category,rating,review,link,addr,hour,tel
영화장,중화요리,3.2,117,https://place.map.kakao.com/9316895,서울 동대문구 휘경로 3-8,,02-967-9595
홍곱창 회기본점,"곱창,막창",3.9,93,https://place.map.kakao.com/24374184,서울 동대문구 회기로25길 60,,02-3295-1187
촨커,양꼬치,4.3,70,https://place.map.kakao.com/86080199,서울 동대문구 이문로9길 105,,02-963-3688
여기가좋겠네,닭요리,3.3,255,https://place.map.kakao.com/8445907,서울 동대문구 회기로21길 25,,02-968-9112
물고기김밥,분식,4.6,27,https://place.map.kakao.com/710638315,서울 동대문구 이문로25길 36 1층,,02-963-4580
이문동그집,"육류,고기",4.1,77,https://place.map.kakao.com/1372376103,서울 동대문구 이문로 195 1층,,02-966-7892
카페양귀비,카페,3.9,90,https://place.map.kakao.com/2093688428,서울 동대문구 이문로9길 8 1층,,
치보,이탈리안,4.2,36,https://place.map.kakao.com/12140380,서울 동대문구 천장산로9길 3,,02-960-7340
컴플리트커피,카페,4.7,49,https://place.map.kakao.com/13333488,서울 동대문구 이문로9나길 6-14,,070-8873-0419
도란도란곱창,"곱창,막창",2.9,50,https://place.map.kakao.com/16933258,서울 동대문구 휘경로2길 5-10,,02-960-3701
샤로스톤 외대점,"스테이크,립",4.3,29,https://place.map.kakao.com/823300740,서울 동대문구 휘경로2가길 5 1층,,02-966-0867
왼손우동짜장탕수육,중화요리,4.5,22,https://place.map.kakao.com/27349137,서울 동대문구 이문로 61,,
레알라면,분식,4.6,61,https://place.map.kakao.com/21327910,서울 동대문구 회기로25길 23-5,,02-960-4208
이문동커피집 플랫피플,커피전문점,5.0,44,https://place.map.kakao.com/27542920,서울 동대문구 이문로25길 39 1층,,
고소운,카페,4.1,87,https://place.map.kakao.com/1131068123,서울 동대문구 이문동 288-41,,
멜팅폼,테마카페,4.3,57,https://place.map.kakao.com/1096938565,서울 동대문구 천장산로7길 10-3 지하1층,,02-960-2544
아티제 외대점,"제과,베이커리",3.4,21,https://place.map.kakao.com/21594961,서울 동대문구 이문로 107 한국외국어대학교 사이버대학 1층,,02-959-2411
홍익돈까스 회기역점,"돈까스,우동",3.4,39,https://place.map.kakao.com/18568145,서울 동대문구 망우로21길 52 춘태빌딩 1층,,02-2242-9604
마루기,일본식라면,4.2,24,https://place.map.kakao.com/8954073,서울 동대문구 이문로28길 16 2층,,02-962-7751
아경면선 외대점,동남아음식,4.8,17,https://place.map.kakao.com/546727332,서울 동대문구 이문로 76 1층,,02-6498-6222
17,피자,4.0,89,https://place.map.kakao.com/499199817,서울 동대문구 회기로21길 22,,02-6494-1798
회기왕족발보쌈,"족발,보쌈",3.5,117,https://place.map.kakao.com/8625453,서울 동대문구 회기로 158,,02-966-4955
정영진허브영양족발,"족발,보쌈",4.6,40,https://place.map.kakao.com/1345425954,서울 동대문구 휘경로3길 11-2,,02-967-6295
카페몰로,디저트카페,3.7,92,https://place.map.kakao.com/1317422264,서울 동대문구 회기로 163 1층,,02-966-1301
아임파이 외대점,"제과,베이커리",4.4,19,https://place.map.kakao.com/26407016,서울 동대문구 휘경로2길 39 1층,,070-4274-1182
황하,중화요리,4.0,32,https://place.map.kakao.com/16705636,서울 동대문구 경희대로4길 79,,02-959-8585
고황24시 뼈다귀해장국감자탕,감자탕,2.9,71,https://place.map.kakao.com/21326102,서울 동대문구 경희대로1길 8-16,,02-966-5082
맥도날드 한국외대점,패스트푸드,3.1,9,https://place.map.kakao.com/22561704,서울 동대문구 휘경로 15,,070-7209-1547
장군집,"육류,고기",3.0,72,https://place.map.kakao.com/27335528,서울 동대문구 회기로25길 23-5,,010-2705-3099
베브릿지 한국외대점,카페,4.6,21,https://place.map.kakao.com/25411498,서울 동대문구 휘경로 4-10 1층,,070-8252-5661
고흥집,한식,4.3,10,https://place.map.kakao.com/21528916,서울 동대문구 휘경로15길 15-7,,02-964-8535
KFC 한국외대점,패스트푸드,2.5,17,https://place.map.kakao.com/1530278437,서울 동대문구 이문로 114,,02-957-5858
이상준초밥,"초밥,롤",4.5,11,https://place.map.kakao.com/1863799941,서울 동대문구 휘경로 12 1층,,02-969-8100
코코니주방,퓨전일식,4.7,47,https://place.map.kakao.com/2010101275,서울 동대문구 이문로 112 2층,,02-962-7381
스타벅스 외대정문점,커피전문점,3.3,9,https://place.map.kakao.com/212140549,서울 동대문구 이문로 93,,1522-3232
