name,category,rating,review,link,addr,hour,tel
악어떡볶이,떡볶이,3.5,289,https://place.map.kakao.com/11101743,서울 성동구 마조로 33,,02-2281-9988
행운돈까스,"돈까스,우동",4.0,95,https://place.map.kakao.com/8675374,서울 성동구 마조로1길 2,,02-2296-3406
갈십리,디저트카페,4.0,235,https://place.map.kakao.com/231920851,"서울 성동구 마조로 15-11 1, 2층",,010-9034-3939
우동가조쿠,"돈까스,우동",4.0,123,https://place.map.kakao.com/19036760,서울 성동구 왕십리로 215-2,,
스시도쿠,"초밥,롤",4.1,302,https://place.map.kakao.com/26792732,서울 성동구 왕십리광장로 6,,02-2281-3255
장어구이,장어,4.4,61,https://place.map.kakao.com/16764642,서울 성동구 마조로 17,,02-2294-8999
이가갈비,갈비,3.1,54,https://place.map.kakao.com/10674476,서울 성동구 마조로 25 2층,,02-2298-8878
키커피컴퍼니,카페,4.0,139,https://place.map.kakao.com/1742492568,서울 성동구 왕십리로 269,,070-4230-8893
양평회관,삼겹살,3.9,78,https://place.map.kakao.com/1210249885,"서울 성동구 마조로7길 16 1,2층",,010-9398-7230
갱생,한식,4.1,94,https://place.map.kakao.com/1964869012,서울 성동구 마조로7길 5 지하1층,,0507-1403-3454
블루보틀 성수 카페,카페,3.1,"1,065",https://place.map.kakao.com/1492599844,서울 성동구 아차산로 7,,02-6212-6998
팩피,이탈리안,3.8,229,https://place.map.kakao.com/1544607396,서울 성동구 왕십리로 136 102호,,02-6052-7595
램플러스 한양대점,양꼬치,4.0,130,https://place.map.kakao.com/938414011,서울 성동구 마조로 27,,02-2281-0405
인더매스 마장,카페,4.4,288,https://place.map.kakao.com/1460620031,서울 성동구 마장로 270,,
엘루이 피자&펍,피자,3.8,72,https://place.map.kakao.com/882084709,서울 성동구 마조로5길 12,,02-2291-1365
스타벅스 한양대점,커피전문점,4.3,11,https://place.map.kakao.com/7962110,"서울 성동구 왕십리로 225 경희빌딩 1,2층",,1522-3232
곱,"곱창,막창",4.1,22,https://place.map.kakao.com/27401255,서울 성동구 마조로7길 7,,02-2296-9238
양대포,"곱창,막창",4.3,226,https://place.map.kakao.com/285402441,서울 성동구 마조로 17 2층,,02-2294-9222
신원양꼬치,양꼬치,3.7,200,https://place.map.kakao.com/1934175195,서울 성동구 마조로 21 2층,,02-2298-9180
끄뜨머리집,"육류,고기",4.4,55,https://place.map.kakao.com/762032344,서울 성동구 마조로3길 8 1층,,02-2292-8574
맥도날드 한양대점,패스트푸드,2.6,4,https://place.map.kakao.com/8330325,서울 성동구 왕십리로 227,,070-7017-0469
용용선생 한양대점,"호프,요리주점",4.4,10,https://place.map.kakao.com/523557997,서울 성동구 마조로3가길 15 1층,,02-2295-5269
제일곱창,"곱창,막창",3.8,448,https://place.map.kakao.com/1784439722,서울 성동구 고산자로 281 1층,,
