name,category,rating,review,link,addr,hour,tel
광고홍대파스타리코,양식,4.3,523,https://place.map.kakao.com/733953859,서울 마포구 홍익로5안길 32 준빌라,,02-3144-0808
광고제주정원,"육류,고기",4.2,73,https://place.map.kakao.com/26412030,서울 마포구 동교로17길 8,,02-336-3392
광고조선화로구이,"육류,고기",4.1,23,https://place.map.kakao.com/8520131,서울 마포구 월드컵북로 5,,02-3143-1300
진짜파스타,이탈리안,4.7,78,https://place.map.kakao.com/1591202287,서울 마포구 와우산로 64 전원빌딩 2층 202호,,02-322-1518
우와 1호점,철판요리,3.6,126,https://place.map.kakao.com/400281849,서울 마포구 와우산로21길 21-16 202호,,070-7778-9500
피오니 홍대점,카페,3.8,355,https://place.map.kakao.com/26235884,서울 마포구 독막로7길 51 1층,,02-333-5325
감성타코 홍대점,"멕시칸,브라질",3.1,139,https://place.map.kakao.com/892514586,서울 마포구 와우산로21길 20-11 2층,,02-337-8883
여우골 홍대점,"초밥,롤",3.8,131,https://place.map.kakao.com/27253757,서울 마포구 와우산로19길 9,,02-325-8717
칸다소바 홍대점,일본식라면,4.1,124,https://place.map.kakao.com/2057792795,서울 마포구 와우산로 51-6,,02-332-1660
정돈,"돈까스,우동",4.5,104,https://place.map.kakao.com/90725902,서울 마포구 어울마당로 46 1층,,02-336-0923
테이스티버거,햄버거,3.7,320,https://place.map.kakao.com/1737612851,서울 마포구 독막로 67-11 행운빌딩 1층,,02-336-3034
943킹스크로스,카페,3.7,334,https://place.map.kakao.com/53292857,서울 마포구 양화로16길 24,,02-3144-2112
코다차야 홍대점,일본식주점,3.3,37,https://place.map.kakao.com/23540362,서울 마포구 와우산로 48 로하스타워 지하1층 101~110호,,02-322-6666
또보겠지떡볶이 해피토스점,떡볶이,3.8,91,https://place.map.kakao.com/1463316899,서울 마포구 잔다리로6길 34-5 2층,,
마녀주방 홍대점,양식,4.3,186,https://place.map.kakao.com/1736742094,"서울 마포구 와우산로21길 36-10 1, 2층",,
테일러커피 서교점,커피전문점,4.2,122,https://place.map.kakao.com/27248379,서울 마포구 와우산로27길 7 2층,,02-334-0355
하카타분코,일본식라면,3.0,185,https://place.map.kakao.com/21410206,서울 마포구 독막로19길 43 1층,,
오츠에스프레소,커피전문점,4.5,266,https://place.map.kakao.com/26485620,서울 마포구 독막로14길 32 지하 1층,,
광고홍대파스타리코,양식,4.3,523,https://place.map.kakao.com/733953859,서울 마포구 홍익로5안길 32 준빌라,영업시간 매일 11:30 ~ 22:00,02-3144-0808
광고제주정원,"육류,고기",4.2,73,https://place.map.kakao.com/26412030,서울 마포구 동교로17길 8,영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-336-3392
광고조선화로구이,"육류,고기",4.1,23,https://place.map.kakao.com/8520131,서울 마포구 월드컵북로 5,영업시간 월~토 11:00 ~ 22:00,02-3143-1300
진짜파스타,이탈리안,4.7,78,https://place.map.kakao.com/1591202287,서울 마포구 와우산로 64 전원빌딩 2층 202호,영업시간 화~일 11:30 ~ 21:00 · 브레이크타임 화~일 15:30 ~ 16:30,02-322-1518
우와 1호점,철판요리,3.6,126,https://place.map.kakao.com/400281849,서울 마포구 와우산로21길 21-16 202호,영업시간 매일 12:00 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,070-7778-9500
피오니 홍대점,카페,3.8,355,https://place.map.kakao.com/26235884,서울 마포구 독막로7길 51 1층,영업시간 매일 12:00 ~ 21:00,02-333-5325
감성타코 홍대점,"멕시칸,브라질",3.1,139,https://place.map.kakao.com/892514586,서울 마포구 와우산로21길 20-11 2층,영업시간 월~금 11:30 ~ 22:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-337-8883
여우골 홍대점,"초밥,롤",3.8,131,https://place.map.kakao.com/27253757,서울 마포구 와우산로19길 9,영업시간 매일 11:00 ~ 22:00,02-325-8717
